HTS_Code,Section 301 Tariff %
0101.21.00,7.50
0101.29.00,7.50
0101.30.00,7.50
0101.90.30,7.50
0101.90.40,7.50
0102.21.00,7.50
0102.29.20,7.50
0102.29.40,7.50
0102.31.00,7.50
0102.39.00,7.50
0102.90.00,7.50
0103.10.00,7.50
0103.91.00,7.50
0103.92.00,7.50
0104.10.00,7.50
0104.20.00,7.50
0105.11.00,7.50
0105.12.00,7.50
0105.13.00,7.50
0105.14.00,7.50
0105.15.00,7.50
0105.94.00,7.50
0105.99.00,7.50
0106.11.00,7.50
0106.12.01,7.50
0106.13.00,7.50
0106.14.00,7.50
0106.19.30,7.50
0106.19.91,7.50
0106.20.00,7.50
0106.31.00,7.50
0106.32.00,7.50
0106.33.00,7.50
0106.39.01,7.50
0106.41.00,7.50
0106.49.00,7.50
0106.90.01,7.50
0201.10.05,7.50
0201.10.10,7.50
0201.10.50,7.50
0201.20.02,7.50
0201.20.04,7.50
0201.20.06,7.50
0201.20.10,7.50
0201.20.30,7.50
0201.20.50,7.50
0201.20.80,7.50
0201.30.02,7.50
0201.30.04,7.50
0201.30.06,7.50
0201.30.10,7.50
0201.30.30,7.50
0201.30.50,7.50
0201.30.80,7.50
0202.10.05,7.50
0202.10.10,7.50
0202.10.50,7.50
0202.20.02,7.50
0202.20.04,7.50
0202.20.06,7.50
0202.20.10,7.50
0202.20.30,7.50
0202.20.50,7.50
0202.20.80,7.50
0202.30.02,7.50
0202.30.04,7.50
0202.30.06,7.50
0202.30.10,7.50
0202.30.30,7.50
0202.30.50,7.50
0202.30.80,7.50
0203.11.00,7.50
0203.12.10,7.50
0203.12.90,7.50
0203.19.20,7.50
0203.19.40,7.50
0203.21.00,7.50
0203.22.10,7.50
0203.22.90,7.50
0203.29.20,25.00
0203.29.40,25.00
0204.10.00,7.50
0204.21.00,7.50
0204.22.20,7.50
0204.22.40,7.50
0204.23.20,7.50
0204.23.40,7.50
0204.30.00,7.50
0204.41.00,7.50
0204.42.20,7.50
0204.42.40,7.50
0204.43.20,7.50
0204.43.40,7.50
0204.50.00,7.50
0205.00.00,7.50
0206.10.00,25.00
0206.21.00,7.50
0206.22.00,7.50
0206.29.00,7.50
0206.30.00,7.50
0206.41.00,7.50
0206.49.00,7.50
0206.80.00,7.50
0206.90.00,7.50
0207.11.00,7.50
0207.12.00,7.50
0207.13.00,7.50
0207.14.00,7.50
0207.24.00,7.50
0207.25.20,7.50
0207.25.40,7.50
0207.26.00,7.50
0207.27.00,7.50
0207.41.00,7.50
0207.42.00,7.50
0207.43.00,7.50
0207.44.00,7.50
0207.45.00,7.50
0207.51.00,7.50
0207.52.00,7.50
0207.53.00,7.50
0207.54.00,7.50
0207.55.00,7.50
0207.60.10,7.50
0207.60.20,7.50
0207.60.30,7.50
0207.60.40,7.50
0207.60.60,7.50
0208.10.00,25.00
0208.30.00,7.50
0208.40.01,7.50
0208.50.00,7.50
0208.60.00,7.50
0208.90.20,25.00
0208.90.25,25.00
0208.90.30,7.50
0208.90.91,7.50
0209.10.00,7.50
0209.90.00,7.50
0210.11.00,7.50
0210.12.00,7.50
0210.19.00,25.00
0210.20.00,7.50
0210.91.00,7.50
0210.92.01,7.50
0210.93.00,7.50
0210.99.20,7.50
0210.99.91,7.50
0301.11.00,25.00
0301.19.00,25.00
0301.91.00,25.00
0301.92.00,25.00
0301.93.02,25.00
0301.94.01,25.00
0301.95.00,25.00
0301.99.03,25.00
0302.11.00,25.00
0302.13.00,25.00
0302.14.00,25.00
0302.19.00,25.00
0302.21.00,25.00
0302.22.00,25.00
0302.23.00,25.00
0302.24.00,25.00
0302.29.01,25.00
0302.31.00,25.00
0302.32.00,25.00
0302.33.00,25.00
0302.34.00,25.00
0302.35.01,25.00
0302.36.00,25.00
0302.39.02,25.00
0302.41.00,25.00
0302.42.00,25.00
0302.43.00,25.00
0302.44.00,25.00
0302.45.11,25.00
0302.45.50,25.00
0302.46.11,25.00
0302.46.50,25.00
0302.47.00,25.00
0302.49.00,25.00
0302.51.00,25.00
0302.52.00,25.00
0302.53.00,25.00
0302.54.11,25.00
0302.54.50,25.00
0302.55.11,25.00
0302.55.50,25.00
0302.56.11,25.00
0302.56.50,25.00
0302.59.11,25.00
0302.59.50,25.00
0302.71.11,25.00
0302.71.50,25.00
0302.72.11,25.00
0302.72.50,25.00
0302.73.11,25.00
0302.73.50,25.00
0302.74.00,25.00
0302.79.11,25.00
0302.79.50,25.00
0302.81.00,25.00
0302.82.00,25.00
0302.83.00,25.00
0302.84.11,25.00
0302.84.50,25.00
0302.85.11,25.00
0302.85.50,25.00
0302.89.11,25.00
0302.89.50,25.00
0302.91.20,25.00
0302.91.40,25.00
0302.92.00,25.00
0302.99.00,25.00
0303.11.00,25.00
0303.12.00,25.00
0303.13.00,25.00
0303.14.00,25.00
0303.19.01,25.00
0303.23.00,25.00
0303.24.00,25.00
0303.25.01,25.00
0303.26.00,25.00
0303.29.01,25.00
0303.31.00,25.00
