HTS_Code,Section 232 Duty
7208,25.00
7209,25.00
7210,25.00
7211,25.00
7212,25.00
7225,25.00
7226,25.00
7213,25.00
7214,25.00
7215,25.00
7227,25.00
7228,25.00
7217,25.00
7229,25.00
7301.10.00,25.00
7302.1,25.00
7302.40.00,25.00
7302.90.00,25.00
7304,25.00
7305,25.00
7306,25.00
7307,25.00
7224,25.00
7218,25.00
7219,25.00
7220,25.00
7221,25.00
7222,25.00
7223,25.00
7301.20.10,25.00
7301.20.50,25.00
7302.30.00,25.00
7307.21.10,25.00
7307.21.50,25.00
7307.22.10,25.00
7307.22.50,25.00
7307.23.00,25.00
7307.29.00,25.00
7307.91.10,25.00
7307.91.30,25.00
7307.91.50,25.00
7307.92.30,25.00
7307.92.90,25.00
7307.93.30,25.00
7307.93.60,25.00
7307.93.90,25.00
7307.99.10,25.00
7307.99.30,25.00
7307.99.50,25.00
7308.10.00,25.00
7308.20.00,25.00
7308.30.10,25.00
7308.30.50,25.00
7308.40.00,25.00
7308.90.30,25.00
7308.90.60,25.00
7308.90.70,25.00
7308.90.95,25.00
7309.00.00,25.00
7310.10.00,25.00
7310.21.00,25.00
7310.29.00,25.00
7311.00.00,25.00
7312.10.05,25.00
7312.10.10,25.00
7312.10.20,25.00
7312.10.30,25.00
7312.10.50,25.00
7312.10.60,25.00
7312.10.70,25.00
7312.10.80,25.00
7312.10.90,25.00
7312.90.00,25.00
7313.00.00,25.00
7314.12.10,25.00
7314.12.20,25.00
7314.12.30,25.00
7314.12.60,25.00
7314.12.90,25.00
7314.14.10,25.00
7314.14.20,25.00
7314.14.30,25.00
7314.14.60,25.00
7314.14.90,25.00
7314.19.01,25.00
7314.20.00,25.00
7314.31.10,25.00
7314.31.50,25.00
7314.39.00,25.00
7314.41.00,25.00
7314.42.00,25.00
7314.49.30,25.00
7314.49.60,25.00
7314.50.00,25.00
7315.11.00,25.00
7315.12.00,25.00
7315.19.00,25.00
7315.20.10,25.00
7315.20.50,25.00
7315.81.00,25.00
7315.82.10,25.00
7315.82.30,25.00
7315.82.50,25.00
7315.82.70,25.00
7315.89.10,25.00
7315.89.30,25.00
