HTS_Code,Section 232 Duty
7208,50
7209,50
7210,50
7211,50
7212,50
7225,50
7226,50
7213,50
7214,50
7215,50
7227,50
7228,50
7217,50
7229,50
7301.10.00,50
7302.1,50
7302.40.00,50
7302.90.00,50
7304,50
7305,50
7306,50
7307,50
7224,50
7218,50
7219,50
7220,50
7221,50
7222,50
7223,50
7301.20.10,50
7301.20.50,50
7302.30.00,50
7307.21.10,50
7307.21.50,50
7307.22.10,50
7307.22.50,50
7307.23.00,50
7307.29.00,50
7307.91.10,50
7307.91.30,50
7307.91.50,50
7307.92.30,50
7307.92.90,50
7307.93.30,50
7307.93.60,50
7307.93.90,50
7307.99.10,50
7307.99.30,50
7307.99.50,50
7308.10.00,50
7308.20.00,50
7308.30.10,50
7308.30.50,50
7308.40.00,50
7308.90.30,50
7308.90.60,50
7308.90.70,50
7308.90.95,50
7309.00.00,50
7310.10.00,50
7310.21.00,50
7310.29.00,50
7311.00.00,50
7312.10.05,50
7312.10.10,50
7312.10.20,50
7312.10.30,50
7312.10.50,50
7312.10.60,50
7312.10.70,50
7312.10.80,50
7312.10.90,50
7312.90.00,50
7313.00.00,50
7314.12.10,50
7314.12.20,50
7314.12.30,50
7314.12.60,50
7314.12.90,50
7314.14.10,50
7314.14.20,50
7314.14.30,50
7314.14.60,50
7314.14.90,50
7314.19.01,50
7314.20.00,50
7314.31.10,50
7314.31.50,50
7314.39.00,50
7314.41.00,50
7314.42.00,50
7314.49.30,50
7314.49.60,50
7314.50.00,50
7315.11.00,50
7315.12.00,50
7315.19.00,50
7315.20.10,50
7315.20.50,50
7315.81.00,50
7315.82.10,50
7315.82.30,50
7315.82.50,50
7315.82.70,50
7315.89.10,50
7315.89.30,50
7315.89.50,50
7315.90.00,50
7316.00.00,50
7317.00.10,50
7317.00.20,50
7317.00.30,50
7317.00.55,50
7317.00.65,50
7317.00.75,50
7318.11.00,50
7318.12.00,50
7318.13.00,50
7318.14.10,50
7318.14.50,50
7318.15.20,50
7318.15.40,50
7318.15.50,50
7318.15.60,50
7318.15.80,50
7318.16.00,50
7318.19.00,50
7318.21.00,50
7318.22.00,50
7318.23.00,50
7318.24.00,50
7318.29.00,50
7319.40.20,50
7319.40.30,50
7319.40.50,50
7319.90.10,50
7319.90.90,50
7320.10.30,50
7320.10.60,50
7320.10.90,50
7320.20.10,50
7320.20.50,50
7320.90.10,50
7320.90.50,50
7321.11.10,50
7321.11.30,50
7321.11.60,50
7321.12.00,50
7321.19.00,50
7321.81.10,50
7321.81.50,50
7321.82.10,50
7321.82.50,50
7321.89.00,50
7321.90.10,50
7321.90.20,50
7321.90.40,50
7321.90.50,50
7321.90.60,50
7322.19.00,50
7322.90.00,50
7323.10.00,50
7323.93.00,50
7323.94.00,50
7323.99.10,50
7323.99.30,50
7323.99.50,50
7323.99.70,50
7323.99.90,50
7324.10.00,50
7324.29.00,50
7324.90.00,50
7325.91.00,50
7325.99.10,50
7325.99.50,50
7326.11.00,50
7326.19.00,50
7326.20.00,50
7326.90.10,50
7326.90.25,50
7326.90.35,50
7326.90.45,50
7326.90.60,50
7326.90.86,50
8431.31.00,50
8431.41.00,50
8431.49.10,50
8431.49.90,50
8432.10.00,50
8432.90.00,50
8547.90.00,50
9403.20.00,50
9405.99.20,50
9405.99.40,50
9406.20.00,50
9406.90.01,50
7601,50
7604,50
7605,50
7606,50
7607,50
7608,50
7609,50
7616.99.51,50
6603.90.8100 ,50
7610.10.00 ,50
7610.90.00 ,50
7615.10.2015 ,50
7615.10.2025 ,50
7615.10.3015 ,50
7615.10.3025 ,50
7615.10.5020,50
7615.10.5040,50
7615.10.7125 ,50
7615.10.7130 ,50
7615.10.7155 ,50
7615.10.7180 ,50
7615.10.9100 ,50
7615.20.0000 ,50
7616.10.9090 ,50
7616.99.1000 ,50
7616.99.5130 ,50
7616.99.5140 ,50
7616.99.5190 ,50
8302.10.3000 ,50
8302.10.6030 ,50
8302.10.6060 ,50
8302.10.6090 ,50
8302.20.0000 ,50
8302.30.3010 ,50
8302.30.3060 ,50
8302.41.3000 ,50
8302.41.6015,50
8302.41.6045,50
8302.41.6050,50
8302.41.6080,50
8302.42.3010,50
8302.42.3015,50
8302.42.3065,50
8302.49.6035,50
8302.49.6045,50
8302.49.6055,50
8302.49.6085,50
8302.50.0000,50
8302.60.3000,50
8302.60.9000,50
8305.10.0050,50
8306.30.0000,50
8414.59.6590,50
8415.90.8025,50
8415.90.8045,50
8415.90.8085,50
8418.99.8005,50
8418.99.8050,50
8418.99.8060,50
8419.50.5000,50
8419.90.1000,50
8422.90.0640,50
8424.90.9080,50
8473.30.2000,50
8473.30.5100,50
8479.89.9599,50
8479.90.8500,50
8479.90.9596,50
8481.90.9060,50
8481.90.9085,50
8486.90.0000,50
8487.90.0080,50
8503.00.9520,50
8508.70.0000,50
8513.90.2000,50
8515.90.2000,50
8516.90.5000,50
8516.90.8050,50
8517.71.0000,50
8517.79.0000,50
8529.90.7300,50
8529.90.9760,50
8536.90.8585,50
8538.10.0000,50
8541.90.0000,50
8543.90.8885,50
8547.90.0020,50
8547.90.0030,50
8547.90.0040,50
8708.10.3050,50
8708.10.60,50
8708.29.5160,50
8708.80.6590,50
8708.99.6890,50
8716.80.5010,50
8807.30.0060,50
9013.90.8000,50
9031.90.9195,50
9401.99.9081,50
9403.10.00,50
9403.20.00,50
9403.99.1040,50
9403.99.9010,50
9403.99.9015,50
9403.99.9020,50
9403.99.9040,50
9403.99.9045,50
9405.99.4020,50
9506.11.4080,50
9506.51.4000,50
9506.51.6000,50
9506.59.4040,50
9506.70.2090,50
9506.91.0010,50
9506.91.0020,50
9506.91.0030,50
9506.99.0510,50
9506.99.0520,50
9506.99.0530,50
9506.99.1500,50
9506.99.2000,50
9506.99.2580,50
9506.99.2800,50
9506.99.5500,50
9506.99.6080,50
9507.30.2000,50
9507.30.4000,50
9507.30.6000,50
9507.30.8000,50
9507.90.6000,50
9603.90.8050,50
