Country,Reciprocal_Tariffs
Algeria,10
Angola,10
Bangladesh,10
Bosnia and Herzegovina,10
Botswana,10
Brunei,10
Cambodia,10
Cameroon,10
Chad,10
China,125
Côte d`Ivoire,10
Democratic Republic of the Congo,10
Equatorial Guinea,10
European Union,10
Falkland Islands,10
Fiji,10
Guyana,10
India,10
Indonesia,10
Iraq,10
Israel,10
Japan,10
Jordan,10
Kazakhstan,10
Laos,10
Lesotho,10
Libya,10
Liechtenstein,10
Madagascar,10
Malawi,10
Malaysia,10
Mauritius,10
Moldova,10
Mozambique,10
Myanmar (Burma),10
Namibia,10
Nauru,10
Nicaragua,10
Nigeria,10
North Macedonia,10
Norway,10
Pakistan,10
Philippines,10
Serbia,10
South Africa,10
South Korea,10
Sri Lanka,10
Switzerland,10
Syria,10
Taiwan,10
Thailand,10
Tunisia,10
Vanuatu,10
Venezuela,10
Vietnam,10
Zambia,10
Zimbabwe,10
