HTS_Code,Section 232 Duty
7208,25
7209,25
7210,25
7211,25
7212,25
7225,25
7226,25
7213,25
7214,25
7215,25
7227,25
7228,25
7217,25
7229,25
7301.10.00,25
7302.1,25
7302.40.00,25
7302.90.00,25
7304,25
7305,25
7306,25
7307,25
7224,25
7218,25
7219,25
7220,25
7221,25
7222,25
7223,25
7301.20.10,25
7301.20.50,25
7302.30.00,25
7307.21.10,25
7307.21.50,25
7307.22.10,25
7307.22.50,25
7307.23.00,25
7307.29.00,25
7307.91.10,25
7307.91.30,25
7307.91.50,25
7307.92.30,25
7307.92.90,25
7307.93.30,25
7307.93.60,25
7307.93.90,25
7307.99.10,25
7307.99.30,25
7307.99.50,25
7308.10.00,25
7308.20.00,25
7308.30.10,25
7308.30.50,25
7308.40.00,25
7308.90.30,25
7308.90.60,25
7308.90.70,25
7308.90.95,25
7309.00.00,25
7310.10.00,25
7310.21.00,25
7310.29.00,25
7311.00.00,25
7312.10.05,25
7312.10.10,25
7312.10.20,25
7312.10.30,25
7312.10.50,25
7312.10.60,25
7312.10.70,25
7312.10.80,25
7312.10.90,25
7312.90.00,25
7313.00.00,25
7314.12.10,25
7314.12.20,25
7314.12.30,25
7314.12.60,25
7314.12.90,25
7314.14.10,25
7314.14.20,25
7314.14.30,25
7314.14.60,25
7314.14.90,25
7314.19.01,25
7314.20.00,25
7314.31.10,25
7314.31.50,25
7314.39.00,25
7314.41.00,25
7314.42.00,25
7314.49.30,25
7314.49.60,25
7314.50.00,25
7315.11.00,25
7315.12.00,25
7315.19.00,25
7315.20.10,25
7315.20.50,25
7315.81.00,25
7315.82.10,25
7315.82.30,25
7315.82.50,25
7315.82.70,25
7315.89.10,25
7315.89.30,25
7315.89.50,25
7315.90.00,25
7316.00.00,25
7317.00.10,25
7317.00.20,25
7317.00.30,25
7317.00.55,25
7317.00.65,25
7317.00.75,25
7318.11.00,25
7318.12.00,25
7318.13.00,25
7318.14.10,25
7318.14.50,25
7318.15.20,25
7318.15.40,25
7318.15.50,25
7318.15.60,25
7318.15.80,25
7318.16.00,25
7318.19.00,25
7318.21.00,25
7318.22.00,25
7318.23.00,25
7318.24.00,25
7318.29.00,25
7319.40.20,25
7319.40.30,25
